"Date","Tickets","Type","Status"
"11/9/14","1","PayPal","PayPal Completed"
"11/9/14","2","PayPal","PayPal Completed"
"11/9/14","1","PayPal","PayPal Completed"
"11/9/14","1","PayPal","PayPal Completed"
"11/8/14","2","PayPal","PayPal Completed"
"11/8/14","1","PayPal","PayPal Completed"
"11/7/14","1","PayPal","PayPal Completed"
"11/7/14","1","PayPal","PayPal Completed"
"11/7/14","1","PayPal","PayPal Completed"
"11/6/14","1","PayPal","PayPal Completed"
"11/4/14","1","PayPal","PayPal Completed"
"11/3/14","1","PayPal","PayPal Completed"
"11/3/14","1","PayPal","PayPal Completed"
"10/31/14","1","PayPal","PayPal Completed"
"10/30/14","1","PayPal","PayPal Completed"
"10/30/14","1","PayPal","PayPal Completed"
"10/30/14","1","PayPal","PayPal Completed"
"10/29/14","1","PayPal","PayPal Completed"
"10/28/14","1","PayPal","PayPal Completed"
"10/28/14","1","PayPal","PayPal Completed"
"10/26/14","1","PayPal","PayPal Completed"
"10/26/14","1","PayPal","PayPal Completed"
"10/25/14","1","PayPal","PayPal Completed"
"10/24/14","1","PayPal","PayPal Completed"
"10/24/14","1","PayPal","PayPal Completed"
"10/24/14","1","PayPal","PayPal Completed"
"10/24/14","1","PayPal","PayPal Completed"
"10/24/14","2","PayPal","PayPal Completed"
"10/24/14","1","PayPal","PayPal Completed"
"10/24/14","1","PayPal","PayPal Completed"
"10/24/14","1","PayPal","PayPal Completed"
"10/24/14","2","PayPal","PayPal Completed"
"10/23/14","1","PayPal","PayPal Completed"
"10/23/14","1","PayPal","PayPal Completed"
"10/23/14","1","PayPal","PayPal Completed"
"10/23/14","1","PayPal","PayPal Completed"
"10/23/14","1","PayPal","PayPal Completed"
"10/23/14","1","PayPal","PayPal Completed"
"10/23/14","1","PayPal","PayPal Completed"
"10/23/14","1","PayPal","PayPal Completed"
"10/23/14","1","PayPal","PayPal Partially Refunded"
"10/23/14","1","PayPal","PayPal Completed"
"10/22/14","1","PayPal","PayPal Completed"
"10/21/14","2","PayPal","PayPal Completed"
"10/21/14","1","PayPal","PayPal Completed"
"10/21/14","1","PayPal","PayPal Completed"
"10/21/14","1","PayPal","PayPal Completed"
"10/20/14","1","PayPal","PayPal Completed"
"10/20/14","1","PayPal","PayPal Completed"
"10/19/14","1","PayPal","PayPal Completed"
"10/19/14","1","PayPal","PayPal Completed"
"10/19/14","1","PayPal","PayPal Completed"
"10/18/14","1","PayPal","PayPal Completed"
"10/17/14","1","PayPal","PayPal Completed"
"10/16/14","1","PayPal","PayPal Completed"
"10/16/14","1","PayPal","PayPal Completed"
"10/16/14","1","PayPal","PayPal Completed"
"10/15/14","1","PayPal","PayPal Completed"
"10/15/14","1","PayPal","PayPal Completed"
"10/15/14","2","PayPal","PayPal Completed"
"10/15/14","1","PayPal","PayPal Completed"
"10/14/14","13","PayPal","PayPal Completed"
"10/14/14","1","PayPal","PayPal Completed"
"10/14/14","1","PayPal","PayPal Completed"
"10/14/14","1","PayPal","PayPal Completed"
"10/14/14","1","PayPal","PayPal Completed"
"10/14/14","1","PayPal","PayPal Completed"
"10/13/14","1","PayPal","PayPal Completed"
"10/13/14","1","PayPal","PayPal Completed"
"10/12/14","1","PayPal","PayPal Completed"
"10/12/14","1","PayPal","PayPal Completed"
"10/10/14","2","PayPal","PayPal Completed"
"10/9/14","2","PayPal","PayPal Completed"
"10/8/14","1","PayPal","PayPal Completed"
"10/7/14","1","PayPal","PayPal Completed"
"10/6/14","1","PayPal","PayPal Completed"
"10/5/14","1","PayPal","PayPal Completed"
"10/2/14","1","PayPal","PayPal Completed"
"10/2/14","1","PayPal","PayPal Completed"
"10/1/14","2","PayPal","PayPal Completed"
"10/1/14","1","PayPal","PayPal Completed"
"10/1/14","1","PayPal","PayPal Completed"
"9/30/14","1","PayPal","PayPal Completed"
"9/30/14","1","PayPal","PayPal Completed"
"9/30/14","1","PayPal","PayPal Completed"
"9/30/14","1","PayPal","PayPal Completed"
"9/29/14","1","PayPal","PayPal Completed"
"9/28/14","1","PayPal","PayPal Completed"
"9/27/14","2","PayPal","PayPal Completed"
"9/26/14","1","PayPal","PayPal Completed"
"9/26/14","1","PayPal","PayPal Completed"
"9/26/14","1","PayPal","PayPal Completed"
"9/26/14","1","PayPal","PayPal Completed"
"9/25/14","1","PayPal","PayPal Completed"
"9/25/14","1","PayPal","PayPal Completed"
"9/25/14","1","PayPal","PayPal Completed"
"9/25/14","1","PayPal","PayPal Completed"
